key,value,date
Canada to United States,190436,1995
United States to United States,0,1995
Angola to United States,2892,1995
Burundi to United States,28,1995
Benin to United States,129,1995
Burkina Faso to United States,1506,1995
Botswana to United States,304,1995
Central African Republic to United States,287,1995
Ivory Coast to United States,16646,1995
Cameroon to United States,6037,1995
DR Congo to United States,7895,1995
Congo to United States,1799,1995
Comoros to United States,12,1995
Cape Verde to United States,7340,1995
Djibouti to United States,0,1995
Algeria to United States,8157,1995
Egypt to United States,126877,1995
Eritrea to United States,686,1995
Western Sahara to United States,0,1995
Ethiopia to United States,30222,1995
Gabon to United States,158,1995
Ghana to United States,18408,1995
Guinea to United States,3654,1995
Gambia to United States,6304,1995
Guinea-Bissau to United States,59,1995
Equatorial Guinea to United States,0,1995
Kenya to United States,30231,1995
Liberia to United States,0,1995
Libya to United States,17766,1995
Lesotho to United States,579,1995
Morocco to United States,20572,1995
Madagascar to United States,465,1995
Mali to United States,550,1995
Mozambique to United States,5924,1995
Mauritania to United States,529,1995
Mauritius to United States,865,1995
Malawi to United States,1237,1995
Mayotte to United States,0,1995
Namibia to United States,1164,1995
Niger to United States,1644,1995
Nigeria to United States,72162,1995
Reunion to United States,29,1995
Rwanda to United States,0,1995
Sudan to United States,67843,1995
Senegal to United States,12302,1995
Sierra Leone to United States,2664,1995
Somalia to United States,20281,1995
South Sudan to United States,0,1995
Sao Tome & Principe to United States,29,1995
Swaziland to United States,1631,1995
Chad to United States,9,1995
Togo to United States,0,1995
Tunisia to United States,2546,1995
Tanzania to United States,7697,1995
Uganda to United States,73,1995
South Africa to United States,18994,1995
Zambia to United States,4463,1995
Zimbabwe to United States,7493,1995
Albania to United States,18069,1995
Austria to United States,474,1995
Belgium to United States,4132,1995
Bulgaria to United States,21829,1995
Bosnia & Herzegovina to United States,0,1995
Switzerland to United States,11222,1995
Channel Islands to United States,0,1995
Czech Republic to United States,709,1995
Germany to United States,135902,1995
Denmark to United States,1171,1995
Spain to United States,1355,1995
Finland to United States,1372,1995
France to United States,62050,1995
United Kingdom to United States,162294,1995
Greece to United States,4062,1995
Croatia to United States,6637,1995
Hungary to United States,1780,1995
Ireland to United States,14423,1995
Iceland to United States,455,1995
Italy to United States,58601,1995
Luxembourg to United States,577,1995
Macedonia to United States,2452,1995
Malta to United States,8,1995
Montenegro to United States,281,1995
Netherlands to United States,22406,1995
Norway to United States,138,1995
Poland to United States,61257,1995
Portugal to United States,18386,1995
Romania to United States,57966,1995
Serbia to United States,62577,1995
Slovakia to United States,544,1995
Slovenia to United States,0,1995
Sweden to United States,5537,1995
Armenia to United States,35394,1995
Azerbaijan to United States,10005,1995
Belarus to United States,4078,1995
Estonia to United States,3342,1995
Georgia to United States,17743,1995
Kazakhstan to United States,103445,1995
Kyrgyzstan to United States,8468,1995
Lithuania to United States,8776,1995
Latvia to United States,10508,1995
Moldova to United States,19118,1995
Russia to United States,13742,1995
Tajikistan to United States,15267,1995
Turkmenistan to United States,5750,1995
Ukraine to United States,91286,1995
Uzbekistan to United States,38221,1995
United Arab Emirates to United States,8277,1995
Bahrain to United States,1267,1995
Cyprus to United States,0,1995
Iraq to United States,18483,1995
Israel to United States,3315,1995
Jordan to United States,59055,1995
Kuwait to United States,22615,1995
Lebanon to United States,42686,1995
Oman to United States,61640,1995
Palestine to United States,17431,1995
Qatar to United States,2716,1995
Saudi Arabia to United States,298006,1995
Syria to United States,32251,1995
Turkey to United States,26069,1995
Yemen to United States,19933,1995
Afghanistan to United States,11470,1995
Bangladesh to United States,110884,1995
Bhutan to United States,2,1995
India to United States,379890,1995
Iran to United States,14459,1995
Sri Lanka to United States,69781,1995
Maldives to United States,433,1995
Nepal to United States,8429,1995
Pakistan to United States,73017,1995
China to United States,276024,1995
Hong Kong to United States,0,1995
Japan to United States,128481,1995
South Korea to United States,405106,1995
Macao to United States,411,1995
Mongolia to United States,3217,1995
North Korea to United States,24,1995
Brunei to United States,254,1995
Indonesia to United States,85854,1995
Cambodia to United States,0,1995
Laos to United States,0,1995
Myanmar to United States,0,1995
Malaysia to United States,19463,1995
Philippines to United States,506348,1995
Singapore to United States,10032,1995
Thailand to United States,754,1995
Timor-Leste to United States,1853,1995
Vietnam to United States,213914,1995
Australia to United States,24881,1995
Fiji to United States,15117,1995
Micronesia to United States,9154,1995
Guam to United States,144,1995
New Caledonia to United States,124,1995
New Zealand to United States,7093,1995
Papua New Guinea to United States,627,1995
French Polynesia to United States,510,1995
Solomon Islands to United States,84,1995
Tonga to United States,5466,1995
Vanuatu to United States,408,1995
Samoa to United States,5776,1995
Aruba to United States,587,1995
Argentina to United States,62432,1995
Bahamas to United States,7369,1995
Belize to United States,9950,1995
Bolivia to United States,24241,1995
Brazil to United States,77559,1995
Barbados to United States,2530,1995
Chile to United States,480,1995
Colombia to United States,99108,1995
Costa Rica to United States,18252,1995
Cuba to United States,119330,1995
Dominican Republic to United States,166103,1995
Ecuador to United States,181469,1995
Guadeloupe to United States,6223,1995
Grenada to United States,4992,1995
Guatemala to United States,366689,1995
French Guiana to United States,589,1995
Guyana to United States,41158,1995
Honduras to United States,141732,1995
Haiti to United States,101307,1995
Jamaica to United States,77905,1995
Saint Lucia to United States,1820,1995
Mexico to United States,1518580,1995
Martinique to United States,891,1995
Nicaragua to United States,52495,1995
Panama to United States,5561,1995
Peru to United States,153372,1995
Puerto Rico to United States,90687,1995
Paraguay to United States,10559,1995
El Salvador to United States,371550,1995
Suriname to United States,2204,1995
Trinidad & Tobago to United States,21745,1995
Uruguay to United States,7417,1995
Saint Vincent & Grenadines to United States,5119,1995
Venezuela to United States,37433,1995
Virgin Islands to United States,2494,1995
Canada to United States,238,2000
United States to United States,0,2000
Angola to United States,0,2000
Burundi to United States,2,2000
Benin to United States,0,2000
Burkina Faso to United States,3716,2000
Botswana to United States,105,2000
Central African Republic to United States,112,2000
Ivory Coast to United States,32965,2000
Cameroon to United States,14247,2000
DR Congo to United States,321,2000
Congo to United States,168,2000
Comoros to United States,0,2000
Cape Verde to United States,1,2000
Djibouti to United States,4,2000
Algeria to United States,0,2000
Egypt to United States,38436,2000
Eritrea to United States,0,2000
Western Sahara to United States,0,2000
Ethiopia to United States,69560,2000
Gabon to United States,131,2000
Ghana to United States,24211,2000
Guinea to United States,16792,2000
Gambia to United States,1933,2000
Guinea-Bissau to United States,22,2000
Equatorial Guinea to United States,0,2000
Kenya to United States,18336,2000
Liberia to United States,13907,2000
Libya to United States,541,2000
Lesotho to United States,0,2000
Morocco to United States,10769,2000
Madagascar to United States,0,2000
Mali to United States,725,2000
Mozambique to United States,942,2000
Mauritania to United States,0,2000
Mauritius to United States,22,2000
Malawi to United States,603,2000
Mayotte to United States,0,2000
Namibia to United States,0,2000
Niger to United States,200,2000
Nigeria to United States,72619,2000
Reunion to United States,6,2000
Rwanda to United States,39,2000
Sudan to United States,17868,2000
Senegal to United States,2569,2000
Sierra Leone to United States,0,2000
Somalia to United States,19887,2000
South Sudan to United States,0,2000
Sao Tome & Principe to United States,9,2000
Swaziland to United States,309,2000
Chad to United States,0,2000
Togo to United States,47,2000
